"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"exposure_grpAbandoned <2 Mo",2.52046561254274,0.0626323774087853,14.7598365188099,2.65924618834004e-49,2.22929735271081,2.84966332386551
"exposure_grpAbandoned 2-4 Mo",2.63848690564057,0.0559390733390645,17.3439700219226,2.19069705790477e-67,2.364501085003,2.94422074719748
"exposure_grpAbandoned >4 Mo",2.37223550916733,0.0513349819091173,16.8273705619725,1.53781382379873e-63,2.14516837904407,2.62333780691943
