"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"tx_month_grp2 to <4 months",0.847183445152435,0.0657140669056525,-2.5236305308032,0.011614993086568,0.744803219822194,0.963636797799678
"tx_month_grp≥ 4 months",0.668347930783747,0.0663711998385549,-6.07110294158549,1.27034719785846e-09,0.586823287527729,0.761198415394872
