"Trial_Month","HR","CI_Lower","CI_Upper","P_Value"
"Month_1",0.460037209914526,0.373802619539229,0.56616573411608,2.28074058940186e-13
"Month_2",1.09268547660708,0.955325194230008,1.24979594173728,0.195949210739307
"Month_3",1.31373115548399,1.12901130545012,1.52867339818286,0.000416384000037172
"Month_4",1.64326551523463,1.39466142079256,1.93618430487938,2.94444110566071e-09
"Month_5",1.88643602968789,1.5621768742547,2.27800126397494,4.23868213423267e-11
"Month_6",1.70936699288329,1.34859100427523,2.16665802092399,9.31444079601124e-06
