"Time","Month","CI_Non_LTFU","CI_LTFU","Risk_Diff","Risk_Ratio"
"1 Year",12,0.00637894364754643,0.0209562007465705,0.014577257099024,3.28521490460744
"5 Years",60,0.0200824612407204,0.0520229597134201,0.0319404984726996,2.59046732817465
"10 Years",120,0.0324527480597012,0.070568811142976,0.0381160630832748,2.17450956736099
"12 Years",144,0.0349049672811221,0.0750820055743072,0.0401770382931851,2.1510407091805
