"model","term","estimate","p_value"
"Cox_Death_Adjusted_CC","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.94 (0.71-1.24)","0.662"
"Cox_Death_Adjusted_CC","dot_statusYes","0.94 (0.82-1.08)","0.413"
"Cox_Death_Adjusted_CC","tx_month_grp< 2 months","1.39 (1.18-1.63)","<0.001"
"Cox_Death_Adjusted_CC","tx_month_grp2 to <4 months","1.33 (1.14-1.54)","<0.001"
"FG_Retr_Adjusted_CC","age_group25-44","1.06 (0.99-1.14)","0.100"
"FG_Retr_Adjusted_CC","age_group45-64","0.92 (0.84-1.02)","0.102"
"FG_Retr_Adjusted_CC","age_group≥65","0.60 (0.47-0.76)","<0.001"
"FG_Retr_Adjusted_CC","sexMale","1.00 (0.94-1.07)","0.937"
"FG_Retr_Adjusted_CC","race_cleanBlack or Mixed","0.99 (0.94-1.05)","0.775"
"FG_Retr_Adjusted_CC","race_cleanOther","0.80 (0.57-1.13)","0.204"
"FG_Retr_Adjusted_CC","edu_clean≤ 7 years","1.35 (1.20-1.52)","<0.001"
"FG_Retr_Adjusted_CC","edu_clean8 - 11 years","1.27 (1.13-1.43)","<0.001"
"FG_Retr_Adjusted_CC","edu_cleanNone","1.20 (0.95-1.53)","0.127"
"FG_Retr_Adjusted_CC","hiv_aidsPositive","1.36 (1.25-1.47)","<0.001"
"FG_Retr_Adjusted_CC","diabetesYes","1.02 (0.88-1.18)","0.818"
"FG_Retr_Adjusted_CC","alcoholYes","0.98 (0.92-1.05)","0.530"
"FG_Retr_Adjusted_CC","drug_useYes","1.15 (1.08-1.23)","<0.001"
"FG_Retr_Adjusted_CC","incarceratedYes","0.85 (0.76-0.96)","0.008"
"FG_Retr_Adjusted_CC","homelessnessYes","0.99 (0.90-1.08)","0.803"
"FG_Retr_Adjusted_CC","hosp_admissionYes","1.87 (1.76-1.99)","<0.001"
"FG_Retr_Adjusted_CC","clinical_cleanExtrapulmonary","0.61 (0.54-0.68)","<0.001"
"FG_Retr_Adjusted_CC","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.77 (0.65-0.92)","0.003"
"FG_Retr_Adjusted_CC","dot_statusYes","1.05 (0.98-1.12)","0.136"
"FG_Retr_Adjusted_CC","tx_month_grp< 2 months","2.17 (2.02-2.34)","<0.001"
"FG_Retr_Adjusted_CC","tx_month_grp2 to <4 months","1.91 (1.79-2.04)","<0.001"
"Cox_Death_Unadjusted","age_group25-44","1.77 (1.52-2.05)","<0.001"
"Cox_Death_Unadjusted","age_group45-64","3.02 (2.57-3.54)","<0.001"
"Cox_Death_Unadjusted","age_group≥65","3.63 (2.83-4.65)","<0.001"
"Cox_Death_Unadjusted","sexMale","0.87 (0.78-0.97)","0.015"
"Cox_Death_Unadjusted","race_cleanBlack or Mixed","1.01 (0.88-1.16)","0.826"
"Cox_Death_Unadjusted","race_cleanOther","1.10 (0.63-1.92)","0.721"
"Cox_Death_Unadjusted","edu_clean≤ 7 years","1.93 (1.51-2.48)","<0.001"
"Cox_Death_Unadjusted","edu_clean8 - 11 years","1.34 (1.05-1.71)","0.019"
"Cox_Death_Unadjusted","edu_cleanNone","2.75 (1.88-4.01)","<0.001"
"Cox_Death_Unadjusted","hiv_aidsPositive","3.27 (2.94-3.63)","<0.001"
"Cox_Death_Unadjusted","diabetesYes","1.45 (1.17-1.80)","<0.001"
"Cox_Death_Unadjusted","alcoholYes","1.71 (1.55-1.88)","<0.001"
"Cox_Death_Unadjusted","drug_useYes","1.31 (1.18-1.44)","<0.001"
"Cox_Death_Unadjusted","incarceratedYes","0.24 (0.17-0.34)","<0.001"
"Cox_Death_Unadjusted","homelessnessYes","1.88 (1.67-2.12)","<0.001"
"Cox_Death_Unadjusted","hosp_admissionYes","5.97 (5.36-6.65)","<0.001"
"Cox_Death_Unadjusted","clinical_cleanExtrapulmonary","1.04 (0.88-1.22)","0.651"
"Cox_Death_Unadjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","2.17 (1.77-2.66)","<0.001"
"Cox_Death_Unadjusted","dot_statusYes","0.73 (0.65-0.81)","<0.001"
"Cox_Death_Unadjusted","tx_month_grp< 2 months","2.20 (1.96-2.47)","<0.001"
"Cox_Death_Unadjusted","tx_month_grp2 to <4 months","1.45 (1.29-1.63)","<0.001"
"FG_Retr_Unadjusted","age_group25-44","1.14 (1.08-1.19)","<0.001"
"FG_Retr_Unadjusted","age_group45-64","1.02 (0.95-1.09)","0.614"
"FG_Retr_Unadjusted","age_group≥65","0.65 (0.56-0.76)","<0.001"
"FG_Retr_Unadjusted","sexMale","0.98 (0.93-1.03)","0.363"
"FG_Retr_Unadjusted","race_cleanBlack or Mixed","1.09 (1.04-1.14)","<0.001"
"FG_Retr_Unadjusted","race_cleanOther","0.74 (0.58-0.96)","0.024"
"FG_Retr_Unadjusted","edu_clean≤ 7 years","1.42 (1.30-1.55)","<0.001"
"FG_Retr_Unadjusted","edu_clean8 - 11 years","1.27 (1.15-1.39)","<0.001"
"FG_Retr_Unadjusted","edu_cleanNone","1.38 (1.14-1.68)","0.002"
"FG_Retr_Unadjusted","hiv_aidsPositive","1.61 (1.52-1.70)","<0.001"
"FG_Retr_Unadjusted","diabetesYes","0.93 (0.84-1.04)","0.213"
"FG_Retr_Unadjusted","alcoholYes","1.28 (1.23-1.34)","<0.001"
"FG_Retr_Unadjusted","drug_useYes","1.41 (1.35-1.47)","<0.001"
"FG_Retr_Unadjusted","incarceratedYes","0.80 (0.73-0.87)","<0.001"
"FG_Retr_Unadjusted","homelessnessYes","1.16 (1.09-1.23)","<0.001"
"FG_Retr_Unadjusted","hosp_admissionYes","1.87 (1.79-1.94)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanExtrapulmonary","0.68 (0.63-0.73)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","1.07 (0.95-1.21)","0.235"
"FG_Retr_Unadjusted","dot_statusYes","1.04 (0.99-1.09)","0.127"
"FG_Retr_Unadjusted","tx_month_grp< 2 months","2.22 (2.11-2.34)","<0.001"
"FG_Retr_Unadjusted","tx_month_grp2 to <4 months","1.96 (1.87-2.06)","<0.001"
