"Time","Month","CI_Non_LTFU","CI_LTFU","Risk_Diff","Risk_Ratio"
"1 Year",12,0.00319212410432523,0.00893017427820131,0.00573805017387607,2.79756487728694
"5 Years",60,0.0160672333297347,0.0366422935465142,0.0205750602167795,2.28056024298237
"10 Years",120,0.0275086020904856,0.0553007911045358,0.0277921890140502,2.0103090270684
"12 Years",144,0.03134553710291,0.0616405975407,0.03029506043779,1.96648720161753
