"Year","Never_Return","Return_Month_3","Return_Month_6","Natural_Course"
0.0833333333333333,0.0808095825834854,0.0808095825834854,0.0808095825834854,0.14855035393283
0.166666666666667,0.160137827167517,0.160137827167517,0.160137827167517,0.368897731762274
0.25,0.238014628293204,1.1170993761393,0.238014628293204,0.634126099932819
0.333333333333333,0.314469305223664,1.97463593785331,0.314469305223664,0.91859620503123
0.416666666666667,0.389530612306266,2.74499670820407,0.389530612306266,1.2117134905852
0.5,0.463226749163925,3.43870792735868,1.12371912801805,1.49890548670948
0.583333333333333,0.535585370719027,4.06485684775642,1.78602192913537,1.7750421887714
0.666666666666667,0.606633597052797,4.63132087859686,2.3848816760243,2.04067056288303
0.75,0.676398023103275,5.14495406913706,2.92763282821017,2.29398120903226
0.833333333333333,0.744904728204809,5.61174009083945,3.42066938173115,2.53357248220447
0.916666666666667,0.81217928547187,6.03691868143597,3.86958313664082,2.75864189967489
1,0.87824677103,6.42509089085638,4.27927848897974,2.9698005019428
1.08333333333333,0.943131773096528,6.78030725902433,4.65406837124095,3.16704686599993
1.16666666666667,1.00685840091379,7.10614214594611,4.99775493787981,3.35192635543288
1.25,1.06945029353718,7.40575674526673,5.31369781571673,3.52515365018838
1.33333333333333,1.13093062848081,7.68195278620838,5.60487214740966,3.68819054401377
1.41666666666667,1.19132213022288,7.93721852407713,5.87391820213257,3.84151032817558
1.5,1.25064707857335,8.17376830609301,6.12318397671394,3.98578039845394
1.58333333333333,1.30892731690605,8.39357675494435,6.35476193749045,4.12196831841685
1.66666666666667,1.36618426025751,8.59840842073574,6.57052083934497,4.25096757083339
1.75,1.42243890329474,8.7898436006258,6.77213338993626,4.3733259383386
1.83333333333333,1.47771182815392,8.96930090523613,6.96110039359201,4.48979883868079
1.91666666666667,1.53202321215222,9.13805705491818,7.13877190290156,4.60080951845404
2,1.58539283537481,9.29726431193255,7.30636582078474,4.70689567506645
2.08333333333333,1.63784016653791,9.44795994774175,7.46497807055991,4.80852956078793
2.16666666666667,1.68938467303759,9.59105855876165,7.61557468179445,4.90609164721018
2.25,1.74004587719935,9.72736410563319,7.75900461261221,5.00004017195047
2.33333333333333,1.78984333289918,9.85758556223461,7.89601634123503,5.09085098686464
2.41666666666667,1.83879660380837,9.98235004350845,8.0272717787318,5.17862181710831
2.5,1.886925243222,10.1022138566809,8.15335797656641,5.26369403184033
2.58333333333333,1.93424877543019,10.2176718344458,8.2747970106596,5.34631444662917
