"Time","Month","CI_Non_LTFU","CI_LTFU","Risk_Diff","Risk_Ratio"
"1 Year",12,0.0591557886417139,0.0172954447327696,-0.0418603439089443,0.29237112935003
"5 Years",60,0.0670085445408782,0.0536561268354457,-0.0133524177054325,0.800735595782312
"10 Years",120,0.0814513285932743,0.0718137527706909,-0.0096375758225834,0.881676873919289
"12 Years",144,0.0818910863030753,0.0775809108601551,-0.00431017544292023,0.947366976828608
