"Year_Post_Start","Month_Post_Landmark","Risk_Non_LTFU","Risk_LTFU","RD","RR"
1,6,0.00393829802928747,0.0111125944044161,0.00717429637512867,2.82167431763072
5,54,0.0192299116511478,0.046227645352661,0.0269977337015131,2.40394476018831
10,114,0.0324257756168657,0.0666830595412895,0.0342572839244238,2.05648309940829
