municipality,ibge_tipo,geo_class,geo4,cd_gcmun
CORONEL MACEDO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3512605
CACAPAVA,Urbano,Urbano,Urbano,3508504
BARAO DE ANTONINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3505005
IGARATA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3520202
BIRITIBA-MIRIM,Urbano,Urbano,Urbano,3506607
DOIS CORREGOS,Urbano,Urbano,Urbano,3514106
MIRA ESTRELA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3530003
TURMALINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3555307
GUARAREMA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3518305
SAO LUIS DO PARAITINGA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3550001
IRAPURU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3521606
SILVEIRAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3552007
AREIAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3503505
CACHOEIRA PAULISTA,Urbano,Urbano,Urbano,3508603
JULIO MESQUITA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3525805
HERCULANDIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519006
SAO BENTO DO SAPUCAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3548609
CACONDE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3508702
CASA BRANCA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3510807
SALESOPOLIS,Urbano,Urbano,Urbano,3545001
SANTO ANTONIO DE POSSE,Urbano,Urbano,Urbano,3548005
TUIUTI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3554953
VALENTIM GENTIL,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3556107
CARDOSO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3510708
GENERAL SALGADO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3516903
PINDORAMA,Urbano,Urbano,Urbano,3538105
BADY BASSITT,Urbano,Urbano,Urbano,3504602
