municipality,ibge_tipo,geo_class,geo4,cd_gcmun
RIBEIRAO BRANCO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543006
SERTAOZINHO,Urbano,Urbano,Urbano,3551702
SANTA BARBARA D OESTE,Urbano,Urbano,Urbano,3545803
PEDERNEIRAS,Urbano,Urbano,Urbano,3536703
MARILIA,Urbano,Urbano,Urbano,3529005
INDAIATUBA,Urbano,Urbano,Urbano,3520509
CERQUILHO,Urbano,Urbano,Urbano,3511508
SAO SEBASTIAO,Urbano,Urbano,Urbano,3550704
SAGRES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3544707
MIRASSOLANDIA,Urbano,Urbano,Urbano,3530409
JACAREI,Urbano,Urbano,Urbano,3524402
FERNANDOPOLIS,Urbano,Urbano,Urbano,3515509
DUMONT,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3514601
SAO SIMAO,Urbano,Urbano,Urbano,3550902
FLORIDA PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3516002
LENCOIS PAULISTA,Urbano,Urbano,Urbano,3526803
JABOTICABAL,Urbano,Urbano,Urbano,3524303
LEME,Urbano,Urbano,Urbano,3526704
APARECIDA,Urbano,Urbano,Urbano,3502507
IGARAPAVA,Urbano,Urbano,Urbano,3520103
CRUZEIRO,Urbano,Urbano,Urbano,3513405
AMERICO BRASILIENSE,Urbano,Urbano,Urbano,3501707
SAO MANUEL,Urbano,Urbano,Urbano,3550100
IEPE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519907
TREMEMBE,Urbano,Urbano,Urbano,3554805
HORTOLANDIA,Urbano,Urbano,Urbano,3519071
CAJAMAR,Urbano,Urbano,Urbano,3509205
CATANDUVA,Urbano,Urbano,Urbano,3511102
AVARE,Urbano,Urbano,Urbano,3504503
ITAI,Urbano,Urbano,Urbano,3521804
CASTILHO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3511003
MAIRIPORA,Urbano,Urbano,Urbano,3528502
SAO CARLOS,Urbano,Urbano,Urbano,3548906
MARACAI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3528809
ARACOIABA DA SERRA,Urbano,Urbano,Urbano,3502903
MOGI DAS CRUZES,Urbano,Urbano,Urbano,3530607
ARAMINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3503000
UBATUBA,Urbano,Urbano,Urbano,3555406
ATIBAIA,Urbano,Urbano,Urbano,3504107
TACIBA,Urbano,Urbano,Urbano,3552908
SANTANA DE PARNAIBA,Urbano,Urbano,Urbano,3547304
AMERICANA,Urbano,Urbano,Urbano,3501608
EMBU-GUACU,Urbano,Urbano,Urbano,3515103
BOTUCATU,Urbano,Urbano,Urbano,3507506
ILHABELA,Urbano,Urbano,Urbano,3520400
CAMPOS DO JORDAO,Urbano,Urbano,Urbano,3509700
RINOPOLIS,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3543808
QUEIROZ,RuralAdjacente,RuralAdjacente,RuralAdjacente,3541802
PEDREGULHO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3537008
RIFAINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543600
CRISTAIS PAULISTA,Urbano,Urbano,Urbano,3513207
ENGENHEIRO COELHO,Urbano,Urbano,Urbano,3515152
ITUVERAVA,Urbano,Urbano,Urbano,3524105
POA,Urbano,Urbano,Urbano,3539806
FRANCO DA ROCHA,Urbano,Urbano,Urbano,3516408
SAO CAETANO DO SUL,Urbano,Urbano,Urbano,3548807
ITAQUAQUECETUBA,Urbano,Urbano,Urbano,3523107
SUZANO,Urbano,Urbano,Urbano,3552502
PIRACAIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3538600
ALVARO DE CARVALHO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3501400
VERA CRUZ,Urbano,Urbano,Urbano,3556602
OCAUCU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3533700
UBIRAJARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3555505
VOTUPORANGA,Urbano,Urbano,Urbano,3557105
MIGUELOPOLIS,Urbano,Urbano,Urbano,3529708
MONTE APRAZIVEL,Urbano,Urbano,Urbano,3531407
PALMARES PAULISTA,Urbano,Urbano,Urbano,3535101
JACI,Urbano,Urbano,Urbano,3524501
OLIMPIA,Urbano,Urbano,Urbano,3533908
ITAJOBI,Urbano,Urbano,Urbano,3521903
ALVINLANDIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3501509
UNIAO PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3555703
JOSE BONIFACIO,Urbano,Urbano,Urbano,3525706
GUZOLANDIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3518909
BENTO DE ABREU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3506201
ILHA SOLTEIRA,Urbano,Urbano,Urbano,3520442
AVANHANDAVA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3504404
VARZEA PAULISTA,Urbano,Urbano,Urbano,3556503
VALINHOS,Urbano,Urbano,Urbano,3556206
MONTE MOR,Urbano,Urbano,Urbano,3531803
BIRIGUI,Urbano,Urbano,Urbano,3506508
PINHALZINHO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3538204
BRAGANCA PAULISTA,Urbano,Urbano,Urbano,3507605
SERRANA,Urbano,Urbano,Urbano,3551504
PITANGUEIRAS,Urbano,Urbano,Urbano,3539509
SUD MENNUCCI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3552304
SANTA RITA DO PASSA QUATRO,Urbano,Urbano,Urbano,3547502
BATATAIS,Urbano,Urbano,Urbano,3505906
JARDINOPOLIS,Urbano,Urbano,Urbano,3525102
PONTAL,Urbano,Urbano,Urbano,3540200
TAQUARITINGA,Urbano,Urbano,Urbano,3553708
BARRINHA,Urbano,Urbano,Urbano,3505609
PORTO FERREIRA,Urbano,Urbano,Urbano,3540705
SAO ROQUE,Urbano,Urbano,Urbano,3550605
ARACARIGUAMA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3502754
RIO GRANDE DA SERRA,Urbano,Urbano,Urbano,3544103
VALPARAISO,Urbano,Urbano,Urbano,3556305
AURIFLAMA,Urbano,Urbano,Urbano,3504206
BREJO ALEGRE,Urbano,Urbano,Urbano,3507753
BERNARDINO DE CAMPOS,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3506300
NOVA ODESSA,Urbano,Urbano,Urbano,3533403
PEDREIRA,Urbano,Urbano,Urbano,3537107
ITUPEVA,Urbano,Urbano,Urbano,3524006
MIRASSOL,Urbano,Urbano,Urbano,3530300
DESCALVADO,Urbano,Urbano,Urbano,3513702
SANTOPOLIS DO AGUAPEI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3548401
JUNQUEIROPOLIS,Urbano,Urbano,Urbano,3526001
PRESIDENTE VENCESLAU,Urbano,Urbano,Urbano,3541505
GUARARAPES,Urbano,Urbano,Urbano,3518206
MIRANTE DO PARANAPANEMA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3530201
GUAPIACU,Urbano,Urbano,Urbano,3517505
COSMORAMA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3512902
PRESIDENTE EPITACIO,Urbano,Urbano,Urbano,3541307
LAVINIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3526506
IPIGUA,Urbano,Urbano,Urbano,3521150
GUARACI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3517901
MONTE CASTELO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3531605
OUROESTE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3534757
NEVES PAULISTA,Urbano,Urbano,Urbano,3532504
BRAUNA,Urbano,Urbano,Urbano,3507704
ARIRANHA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3503703
SAO FRANCISCO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3549003
JALES,Urbano,Urbano,Urbano,3524808
TRES FRONTEIRAS,Urbano,Urbano,Urbano,3554904
ESTRELA D'OESTE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3515202
LAGOINHA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3526308
