"strata","year","mortality_pct","lower_ci","upper_ci"
"hiv_aids=Negative",1,1.8601500625261,1.66880921997957,2.05111857847172
"hiv_aids=Negative",5,6.02691373808825,5.66096837788765,6.39143957972531
"hiv_aids=Negative",10,8.61168572178095,8.07590151946541,9.14434707909506
"hiv_aids=Negative",12,9.53726818160374,8.7760102666718,10.2921734516367
"hiv_aids=Positive",1,7.00453234445813,5.98357688729673,8.01440090838323
"hiv_aids=Positive",5,18.9171905346627,17.2508985013539,20.5499289814071
"hiv_aids=Positive",10,24.6441962848255,22.4788973979756,26.7490146171939
