"Group","Year_1","Year_2","Year_5","Year_10","Year_11.9"
"1 to <2 months",51.4295676429566,58.9109134785651,62.9046126483726,65.8366491328971,65.8366491328971
"≥ 4 months",23.5623990115009,27.1761319531548,32.4249224774257,36.4679409373012,37.1233695743298
"< 1 month",39.1900718484651,43.0038679278083,46.0427976294307,48.6290694298421,48.6290694298421
"2 to <4 months",42.8720704582773,48.4868236572781,54.1105985887615,57.4833315414286,57.9121572127453
