"Group","Year_1","Year_2","Year_5","Year_10","Year_11.9"
"Negative",32.768862025844,37.4924845752539,42.2777244519264,45.8646745868122,46.1640743141359
"Positive",46.8479604449937,51.8858566865477,58.5664812643379,62.2620030511616,63.2471717941594
