"model","term","estimate","p_value"
"Cox_Death_Unadjusted","dot_statusYes","0.55 (0.48-0.63)","<0.001"
"Cox_Death_Unadjusted","tx_month_grp1 to <2 months","0.68 (0.54-0.86)","0.001"
"Cox_Death_Unadjusted","tx_month_grp2 to <4 months","0.49 (0.40-0.60)","<0.001"
"Cox_Death_Unadjusted","tx_month_grp≥ 4 months","0.39 (0.32-0.48)","<0.001"
"FG_Retr_Unadjusted","age_group25-44","1.16 (1.11-1.22)","<0.001"
"FG_Retr_Unadjusted","age_group45-64","1.07 (1.00-1.14)","0.040"
"FG_Retr_Unadjusted","age_group≥65","0.70 (0.60-0.81)","<0.001"
"FG_Retr_Unadjusted","sexMale","0.99 (0.94-1.04)","0.631"
"FG_Retr_Unadjusted","race_cleanBlack or Mixed","1.09 (1.05-1.14)","<0.001"
"FG_Retr_Unadjusted","race_cleanOther","0.78 (0.61-1.00)","0.052"
"FG_Retr_Unadjusted","edu_clean≤ 7 years","1.40 (1.28-1.54)","<0.001"
"FG_Retr_Unadjusted","edu_clean8 - 11 years","1.23 (1.11-1.36)","<0.001"
"FG_Retr_Unadjusted","edu_cleanNone","1.34 (1.12-1.61)","0.002"
"FG_Retr_Unadjusted","hiv_aidsPositive","1.58 (1.50-1.67)","<0.001"
"FG_Retr_Unadjusted","diabetesYes","0.90 (0.81-1.01)","0.072"
"FG_Retr_Unadjusted","alcoholYes","1.24 (1.19-1.30)","<0.001"
"FG_Retr_Unadjusted","drug_useYes","1.36 (1.31-1.42)","<0.001"
"FG_Retr_Unadjusted","incarceratedYes","0.78 (0.72-0.85)","<0.001"
"FG_Retr_Unadjusted","homelessnessYes","1.46 (1.37-1.55)","<0.001"
"FG_Retr_Unadjusted","hosp_admissionYes","1.84 (1.76-1.91)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanExtrapulmonary","0.66 (0.61-0.71)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","1.02 (0.91-1.15)","0.710"
"FG_Retr_Unadjusted","dot_statusYes","1.04 (1.00-1.10)","0.078"
"FG_Retr_Unadjusted","tx_month_grp1 to <2 months","1.50 (1.37-1.63)","<0.001"
"FG_Retr_Unadjusted","tx_month_grp2 to <4 months","1.20 (1.11-1.30)","<0.001"
"FG_Retr_Unadjusted","tx_month_grp≥ 4 months","0.63 (0.59-0.69)","<0.001"
