"model","term","estimate","p_value"
"Cox_Death_Adjusted_CC","hosp_admissionYes","5.03 (4.33-5.85)","<0.001"
"Cox_Death_Adjusted_CC","clinical_cleanExtrapulmonary","0.63 (0.50-0.79)","<0.001"
"Cox_Death_Adjusted_CC","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.94 (0.72-1.24)","0.673"
"Cox_Death_Adjusted_CC","dot_statusYes","0.94 (0.81-1.08)","0.360"
"Cox_Death_Adjusted_CC","tx_month_grp1 to <2 months","1.16 (0.89-1.50)","0.279"
"Cox_Death_Adjusted_CC","tx_month_grp2 to <4 months","1.06 (0.83-1.36)","0.646"
"Cox_Death_Adjusted_CC","tx_month_grp≥ 4 months","0.80 (0.62-1.02)","0.076"
"FG_Retr_Adjusted_CC","age_group25-44","1.06 (0.99-1.14)","0.085"
"FG_Retr_Adjusted_CC","age_group45-64","0.92 (0.84-1.02)","0.104"
"FG_Retr_Adjusted_CC","age_group≥65","0.61 (0.48-0.77)","<0.001"
"FG_Retr_Adjusted_CC","sexMale","1.00 (0.93-1.07)","0.983"
"FG_Retr_Adjusted_CC","race_cleanBlack or Mixed","0.99 (0.94-1.05)","0.824"
"FG_Retr_Adjusted_CC","race_cleanOther","0.80 (0.57-1.13)","0.209"
"FG_Retr_Adjusted_CC","edu_clean8 - 11 years","1.27 (1.13-1.43)","<0.001"
"FG_Retr_Adjusted_CC","edu_cleanNone","1.20 (0.95-1.52)","0.131"
"FG_Retr_Adjusted_CC","edu_clean≤ 7 years","1.35 (1.20-1.52)","<0.001"
"FG_Retr_Adjusted_CC","hiv_aidsPositive","1.35 (1.25-1.47)","<0.001"
"FG_Retr_Adjusted_CC","diabetesYes","1.02 (0.88-1.18)","0.821"
"FG_Retr_Adjusted_CC","alcoholYes","0.98 (0.92-1.05)","0.548"
"FG_Retr_Adjusted_CC","drug_useYes","1.15 (1.08-1.23)","<0.001"
"FG_Retr_Adjusted_CC","incarceratedYes","0.86 (0.76-0.97)","0.012"
"FG_Retr_Adjusted_CC","homelessnessYes","1.00 (0.91-1.09)","0.940"
"FG_Retr_Adjusted_CC","hosp_admissionYes","1.88 (1.77-2.00)","<0.001"
"FG_Retr_Adjusted_CC","clinical_cleanExtrapulmonary","0.61 (0.54-0.68)","<0.001"
"FG_Retr_Adjusted_CC","clinical_cleanPulmonary and Extrapulmonary or disseminated","0.77 (0.65-0.91)","0.003"
"FG_Retr_Adjusted_CC","dot_statusYes","1.04 (0.97-1.11)","0.244"
"FG_Retr_Adjusted_CC","tx_month_grp1 to <2 months","1.26 (1.11-1.43)","<0.001"
"FG_Retr_Adjusted_CC","tx_month_grp2 to <4 months","1.04 (0.92-1.17)","0.540"
"FG_Retr_Adjusted_CC","tx_month_grp≥ 4 months","0.54 (0.48-0.61)","<0.001"
"Cox_Death_Unadjusted","age_group25-44","1.77 (1.52-2.05)","<0.001"
"Cox_Death_Unadjusted","age_group45-64","3.02 (2.57-3.54)","<0.001"
"Cox_Death_Unadjusted","age_group≥65","3.63 (2.83-4.65)","<0.001"
"Cox_Death_Unadjusted","sexMale","0.87 (0.78-0.97)","0.015"
"Cox_Death_Unadjusted","race_cleanBlack or Mixed","1.05 (0.95-1.16)","0.371"
"Cox_Death_Unadjusted","race_cleanOther","1.11 (0.65-1.90)","0.704"
"Cox_Death_Unadjusted","edu_clean8 - 11 years","1.33 (1.01-1.75)","0.041"
"Cox_Death_Unadjusted","edu_cleanNone","2.73 (1.86-4.01)","<0.001"
"Cox_Death_Unadjusted","edu_clean≤ 7 years","1.96 (1.54-2.48)","<0.001"
"Cox_Death_Unadjusted","hiv_aidsPositive","3.27 (2.94-3.63)","<0.001"
"Cox_Death_Unadjusted","diabetesYes","1.45 (1.17-1.80)","<0.001"
"Cox_Death_Unadjusted","alcoholYes","1.71 (1.55-1.88)","<0.001"
"Cox_Death_Unadjusted","drug_useYes","1.31 (1.18-1.44)","<0.001"
"Cox_Death_Unadjusted","incarceratedYes","0.24 (0.17-0.34)","<0.001"
"Cox_Death_Unadjusted","homelessnessYes","1.88 (1.67-2.12)","<0.001"
"Cox_Death_Unadjusted","hosp_admissionYes","5.97 (5.36-6.65)","<0.001"
"Cox_Death_Unadjusted","clinical_cleanExtrapulmonary","1.04 (0.88-1.22)","0.651"
"Cox_Death_Unadjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","2.17 (1.77-2.66)","<0.001"
"Cox_Death_Unadjusted","dot_statusYes","0.72 (0.65-0.80)","<0.001"
"Cox_Death_Unadjusted","tx_month_grp1 to <2 months","0.90 (0.75-1.07)","0.215"
"Cox_Death_Unadjusted","tx_month_grp2 to <4 months","0.62 (0.52-0.72)","<0.001"
